,abstract_id,abstract,Anode,Capacity,C-rate,Voltage,Cycle number
30,doc_30,"One-step synthesis of Cl-doped Li4Ti5O12 has been achieved by solution method at a low temperature (40 degrees C) during the electrode fabrication process of Li-ion batteries. The Cl-doped Li4Ti5O12 has a higher specific capacity than the pristine Li4Ti5O12. According to the SEM and XRD results, the doping of Cl does not destroy the intrinsic structure of Li4Ti5O12. The specific capacity of Cl-doped Li4Ti5O12 at 0.2 C, 0.5 C, 1 C, and 2 C rates in the range of 1-3 V is 179.0, 160.2, 149.4, and 132.3 mAh g(-1), respectively. Compared with the pristine Li4Ti5O12 material, the specific capacities are increased by 16.2%, 13.5%, 18.1%, and 16.7%, respectively. The CV results show that the Cl-doped Li4Ti5O12 material has a higher lithium ion transport rate compared with the pristine Li4Ti5O12. EIS measurements show that Cl doping can effectively decrease charge transfer impedance and facilitate Li+ ion diffusion. Overall, the Cl-doped Li4Ti5O12 anode material prepared by a solution method has higher ionic conductivity and better electrochemical performance compared with the pristine Li4Ti5O12 anode material.",Cl-doped Li4Ti5O12,N/A,N/A,1-3 V,N/A
31,doc_31,"In this study, multi-walled carbon nanotubes (MWCNTs) were modified by thermal fluorination to improve dispersibility between MWCNTs and Li4Ti5O12 (LTO) and were used as additives to compensate for the disadvantages of LTO anode materials with low electronic conductivity. The degree of fluorination of the MWCNTs was controlled by modifying the reaction time at constant fluorination temperature; the clear structure and surface functional group changes in the MWCNTs due to the degree of fluorination were determined. In addition, the homogeneous dispersion in the LTO was improved due to the strong electronegativity of fluorine. The F-MWCNT conductive additive was shown to exhibit an excellent electrochemical performance as an anode for lithium ion batteries (LIBs). In particular, the optimized LTO with added fluorinated MWCNTs not only exhibited a high specific capacity of 104.8 mAh g(-1) at 15.0 C but also maintained a capacity of similar to 116.8 mAh g(-1) at a high rate of 10.0 C, showing a capacity almost 1.4 times higher than that of LTO with the addition of pristine MWCNTs and an improvement in the electrical conductivity. These results can be ascribed to the fact that the semi-ionic C-F bond of the fluorinated MWCNTs reacts with the Li metal during the charge/discharge process to form LiF, and the fluorinated MWCNTs are converted into MWCNTs to increase the conductivity due to the bridge effect of the conductive additive, carbon black, with LTO.",LTO,"104.8 mAh g(-1), 116.8 mAh g(-1)","15.0 C, 10.0 C",N/A,N/A
32,doc_32,"The rapidly expanding lithium-ion battery market is driving an increasing demand for fast-charging capabilities and enhanced energy density in electrode materials. In this context, perovskite oxides, recognized for their stable lithium insertion frameworks, have emerged as promising candidates. This study focuses on a series of vanadiumbased perovskite oxides, denoted as AVO3 (where A = Ca, La, Ce, Pr, Nd, Y), synthesized via the sol-gel combustion-H2 reduction method. Theoretical calculations and experimental results reveal that AVO3 operates through an insertion mechanism, facilitating the reversible insertion and extraction of Li+ at the 4c site with negligible unit cell volume expansion during cycling. Among the various AVO3 compounds studied, metallic CaVO3 exhibits superior rate performance, lower operating potential (0.95 V vs. 1.55 V), and higher specific capacity (207.3 mAh g-1 vs. 150.2 mAh g-1) compared to commercial anode Li4Ti5O12, thus supporting the advancement of fast charging and high energy density lithium-ion batteries. Furthermore, at a high current density of 1 A g-1, CaVO3 retains its capacity without degradation after 2000 cycles, demonstrating excellent stability. This research highlights the significant application potential of CaVO3 as a fast-charging anode material by thoroughly investigating the lithium storage performance and mechanisms involved in various AVO3 compounds. The systematic findings contribute valuable insights toward the development of other perovskite oxide electrode materials.",Fast-charging anode material,207.3 mAh g-1,N/A,0.95 V,2000
33,doc_33,"Herein, a novel Li4Ti5O12@carbon nanotubes (CNT) composite, composed of Li4Ti5O12 nanowires intertwined with CNT (4 wt%), is synthesized by a simple method and studied as conductive additive-free anodes of lithiumion batteries (LIBs). Results indicate that the Li4Ti5O12@CNT shows impressive electrochemical performances, such as high initial coulombic efficiency (ICE, similar to 94%), acceptable capacity (147.6 mAh g(-1)) and ultra-long life (3000 cycles). The facile preparation process and the impressive electrochemical performance make Li4Ti5O12@CNT anode promising in LIB application.",Li4Ti5O12@CNT,147.6 mAh g(-1),N/A,N/A,3000
34,doc_34,"Lithium titanate oxides, i.e. Li4Ti5O12 (LTO), and titanium niobium oxides, i.e. TiNb2O7 (TNO), are promising anodes for lithium-ion batteries (LIBs). In comparison to LTO anodes, TNO anodes have zero-strain characteristics but with a higher specific capacity (about 387 mAh g-1). However, the reactions leading to gas generation during high-rate cycling impedes the practical use of TNO anodes. The incorporation of aluminum into TNO by partial replacement of niobium atoms is proposed to address these issues. This Al-incorporation enables self- generation of a protective shell through the solute drag effect by annealing process. The generated protective layer is conducive to the formation of a solid electrolyte interphase (SEI) layer with enhanced lithium-ion conductivity during reaction with electrolyte. In addition, this SEI layer can effectively reduce side reactions and polarization during high-rate cycling, thereby suppressing the possibility of gas generation and enhancing the overall electrochemical performances. As a result, TiNb1.95Al0.05O(TNAO-0.05) anode exhibits a high specific capacity of about 223 mAh g-1 for over 100 cycles at 0.1C. Even at a higher rate of about 5C, it maintains a specific capacity as high as 176 mAh g-1, and holding up a capacity retention of 96.4 % after 300 cycles at 1C. This report demonstrates the potential of TNAO-0.05 anode for industrial battery applications.",TiNb1.95Al0.05O(TNAO-0.05),223 mAh g-1,"0.1, 5, 1",N/A,"100, 300"
35,doc_35,"Lithium titanate (Li4Ti5O12) anode materials are widely popular because of their exceptional structural prop-erties that could offer extremely long life and high current rate with safe operation. In-depth research works have been going on to mitigate the limiting factors like poor conduction and diffusion of lithium titanate for the electrode applications in the lithium-ion battery. Elemental doping and surface coating were found to be promising methods to overcome these challenges and enhance the capacity for widespread application. Herein, ex-situ carbon-coated tin (Sn4+) doped lithium titanate was synthesized via conventional solid-state synthesis. Its electrochemical performances were analyzed and compared with its pristine phase by making half cells with lithium. The results were highly promising as the Li4Sn0.05Ti4.95O12 with 5 wt% carbon coating exhibited significantly reduced cell impedance (Rct = 49.48 omega), enhanced electrode lithium-ion diffusion coef-ficient (D = 2.40x10-11 cm2 s-1), and superior specific capacity (Q = 173.1 mAh/g at 0.1 C) over pristine lithium titanate (Rct = 274.2 omega, D = 2.71x10-12 cm2 s-1, and Q = 145 mAh/g). The cell could also run for 1000 cycles with minimum capacity fade (82 % retention) at a 1 C rate.",N/A,173.1 mAh/g,"0.1, 1",N/A,1000
36,doc_36,"Li4Ti5O12 (LTO) is the most promising anode material for lithium-ion batteries owing to its excellent cycle stability and safety. However, the electrochemical performance of LTO at high rates is limited by its low conductivity. Generally, LTO preparation requires organic titanium sources, which are expensive. In this study, inexpensive H2TiO3 was used as the titanium source, LiOH center dot H2O served as the lithium source, and NH3 center dot H2O was added to control the pH of the solution. Simple one-step liquid-phase deposition and calcination were performed for obtaining in situ self-assembled LTO submicron spheres with stable morphology and excellent electrochemical performance. According to electrochemical performance tests, the sample calcined with 4 mL of 25% NH3 center dot H2O at 700 center dot degrees C (LTO-4-70 0) exhibited the best performance. Its discharge capacity remained at 176.4 mAh g(-1) over 100 cycles at 87.5 mA g-1 and retained at 136.7 mAh g(-1) over 500 cycles at 875 mA g(-1), and its specific capacity was 105.6 mAh g(-1) over 1000 cycles, even at a current of 1750 mA g(-1) with a retention rate of 96.7%. Furthermore, LTO-4-70 0 exhibited excellent rate performance at 3500 mA g-1 compared to other samples. Cyclic voltammetry and electrochemical impedance spectroscopy confirmed that submicron spherical LTO-4-700 had a high Li+ migration rate and low electrochemical impedance.(C) 2022 Elsevier B.V. All rights reserved.",LTO,"176.4 mAh g(-1), 136.7 mAh g(-1), 105.6 mAh g(-1)","87.5 mA g-1, 875 mA g-1, 1750 mA g-1, 3500 mA g-1",N/A,"100, 500, 1000"
37,doc_37,"Titanium-based materials such as TiO2 and Li4Ti5O12 are promising candidates for next-generation lithium-ion batteries (LIBs), but the high operating potential and unsatisfactory specific capacity severely restrict the potential application prospects. Li2TiSiO5 as a novel anode has attracted great attention due to its low-potential and high-capacity properties, but the conversion transition of Li2TiSiO5 to Li4SiO4 and TiO during Li+ intercalation and de-intercalation unfavorably affects the structural stability and hinders Li+ transport. Herein, novel cocoon-like microspheres assembled by Na2TiSiO5 nanotubes (NTSO-T), as the substitute of Li2TiSiO5, are facilely synthesized through a hydrothermal reaction. The hierarchical structure could effectively facilitate the Li+ diffusion, reduces internal strain, and enhances structural stability without greatly reducing the tap density. With a low but safe operating potential of 0.75 V, NTSO-T anode exhibits a high reversible capacity of 400 mAh g(-1) which exceeds most reported Ti-based anodes, and durable long-cycling performance (capacity retention after 3000 cycles reaches 77%). Most importantly, the rate capability of NTSO-T is significantly enhanced. Kinetic reaction analysis has demonstrated the pseudocapacitive contribution in NTSO-T anode dominates the lithium storage kinetics. In addition, ex situ XRD and Raman analysis reveal a partially reversible conversion mechanism occurring in the framework. The excellent electrochemical performance of NTSO-T provides a promising anode candidate for next-generation LIBs.",NTSO-T,400 mAh g(-1),N/A,0.75 V,3000
38,doc_38,"Graphite, as the dominant anode for commercial lithium-ion batteries, features sluggish electrochemical kinetics and low potential close to lithium deposition, leading to poor rate capability and safety issues. Although titanium-based oxides have received considerable attention, each alternative demonstrates unsatisfactory trade-offs between capacity, operating potential, rate capability, and lifespan. Here, submicrometer-sized lithium yttrium titanate (LYTO) is synthesized through facile sol-gel and ion-exchange reactions. With an average operating potential of 0.3 V versus Li+/Li, the LYTO anode demonstrates a high specific capacity of 236 mAh g(-1) and durable cycling performance of 98% capacity retention after 3000 cycles. Impressively, without additional modification, a high-rate capability is achieved under a current density range from 0.5 C to 100 C (1 C = 200 mA g(-1)), e.g., delivering 112 and 87 mAh g(-1) at 60 C and 100 C, respectively. Comprehensive characterizations and computational simulations reveal reversible solid-solution reactions occurring in the LYTO framework with little lattice change and fast 2D Li+ mobility achieved due to a low diffusion energy barrier. After incorporation with a LiFePO4 cathode, the energy density of the as-fabricated full cell reaches 2.4 times that of Li4Ti5O12/LiFePO4 full cell. The double characteristics of LYTO provide a fresh identification for high-performance anodes.",LYTO,236 mAh g(-1),0.5-100 C (with high-rate capability),0.3 V vs Li+/Li,3000
39,doc_39,"Spinel Li2ZnTi3O8 (LZTO) is widely studied in the field of anode materials for lithium-ion batteries (LIBs) in recent years because of its stable cycling performance, no volume expansion and higher theoretical capacity than that of Li4Ti5O12. In this work, porous plate-like LZTO is synthesized via a simple in situ topological reaction with layered Titanic acid as the precursor. Due to its special morphology, a large amount of pseudocapacitance is introduced for lithium-ion storage in conjunction with the intercalation reaction. This co-storage mode allows more Li+ to be stored, resulting in the plate-like LZTO getting the highest capacity in the LZTO-based anode. It shows a reversible capacity of 338 mAh/g at 0.1 A/g and maintains excellent performance in long cycle tests under high current density (208 mAh/g after 1000 cycles at 1 A/g and 118 mAh/g after 2000 cycles at 5 A/g). In terms of electrochemical reaction kinetics, the two-dimensional plate structure provides a flat path for electron transport and the micropores on its surface provide many fast channels for the Li+ diffusion. Its simple synthesis method and excellent electrochemical properties prove that it has a great potential to become the new generation of anode materials for LIBs.",Plate-like LZTO,"338 mAh/g, 208 mAh/g (after 1000 cycles), 118 mAh/g (after 2000 cycles)","0.1 A/g, 1 A/g, 5 A/g",N/A,"1000, 2000"
40,doc_40,"As an alternative to the graphite-based anode in lithium-ion battery (LIBs), the TiO2-based anode has continuously drawn attention due to its high stability and long operating life, especially in the field of electric vehicles (EVs). Although a spinel structure lithium titanate (LTO, Li4Ti5O12) anode is commercially available, there has been a constant need to improve the anode capacity with TiO2-based materials because they have much higher theoretical capacity compared to LTO. In this regard, nanostructured TiO2-based materials with high surface area are thought to be ideal for LIB anode application. In this study, a lotus-root shaped meso-/macroporous TiO2 (LR-700) material was prepared and employed as an anode material for LIB with expectancy to have large channels for easy Li+ insertion and thus show better electrical property. Coin cell tests were carried out with the anodes prepared from LR-700, LTO, and nano-sized TiO2 powder (known as P25) for comparison by charging and discharging at 0.5 C. Despite the presence of large macroporous channels and mesopores in the walls for LR-700, the capacity of 158 mAh/g for LR-700 anode was found to be slightly lower than the LTO's theoretical discharge capacity of 175mAh/g. We envision that less thicker walls would enhance the performance through effective ion diffusion and electronic conduction.",LR-700,158 mAh/g,0.5 C,N/A,N/A
41,doc_41,"Li3VO4 (LVO) is a promising anode material for use in Li-ion batteries (LIBs) owing to its safe discharge plateau and high capacity. However, its moderate Li+-diffusion coefficient and low electrical conductivity pose challenges to its widespread use in the LIB industry. In this study, hexavalent tungsten ions (W6+) were introduced to boost electrochemical kinetics, and W6+-doped LVO microspheres were successfully prepared using a spraydrying approach. Density functional theory (DFT) calculations reveal that the enhanced electronic conductivity and improved oxygen lattice following W6+ doping is possibly due to the development of a mid-gap state positioned above the valence band maximum. The doped LVO displayed excellent electrochemical performance, including a superior rate capability (288.9 mAh/g at 10C) and remarkable cycling stability (capacity fading of only 8.6 % over 200 cycles at 6C), which is ascribable to improved electrical conductivity and Li+ insertion/ extraction. In addition, we also fabricated a 3.7 V full LIB with a W6+-doped LVO anode and a LiNi0.5Mn1.5O4 (LNMO) cathode, and a lithium-ion capacitor (LIC) with an energy density of 131.8 Wh/kg using the modified LVO and active carbon (AC). This study demonstrates the potential of W6+-doped LVO for use in energy-storage applications.",LVO,N/A,"10C, 6C",N/A,200
42,doc_42,"A simple synthesis for the Ti3+-doped, small Li4Ti5O12 is favorable for its application as an anode material of lithium-ion batteries. This study presents a direct synthesis method of high-performance Li4Ti5O12 (LTO-Ti) with the Ti3+ self-doped and uniformly small in size. It is carried out by the redox of an electrochemical electrode pair of Ti and Fe2O3 at a constant potential in molten KCl-LiCl salt with Li2CO3. The synthesis mechanism and the effect of synthesis conditions on the formation and properties of LTO-Ti were investigated in detail. The LTO-Ti with an average size of approximately 400 nm is prepared by the ionic level synthesis method, and exhibits a superior specific capacity of 130.5 mAhg(-1) at 10 C current density, which is 73.6% of its average specific capacity at 1 C. Moreover, it also shows good cycling stability with a specific capacity of 127.2 mAhg(-1) after 1000 cycles at 5 C (capacity retention of 96.9%). This synthesis is secure and prospective.",LTO-Ti,"130.5 mAhg(-1) at 10 C, 127.2 mAhg(-1) after 1000 cycles at 5 C","1 C, 5 C, 10 C",N/A,1000
43,doc_43,"The spinel lithium-ion battery anode material Li4Ti5O12 (LTO) exhibits stable cycling and is less prone to lithium dendrite and solid electrolyte interphase (SEI) films. However, its theoretical capacity and conductivity are low within the electrochemical window of 1.0-3.0 V. In this study, we utilized active carbon (AC) coated and micron Silicon (Si) doped Li4Ti5O12, applying an extended electrochemical window of 0.01-3.0 V during cycling to enhance the material's electrochemical performance. Our investigation revealed that bare LTO sample as well as those with single Silicon doping or active carbon coating experienced rapid decay during high-rate long cycling tests. Conversely, the Silicon-carbon composite LSiAC sample (87 wt% Li4Ti5O12 + 3 wt% AC + 10 wt% Si) demonstrated a capacity of 349.19 mAh g(-1) (98.28%) at a 1C rate after 200 cycles, and achieved a capacity of 196.56 mAh g(-1) (89.37%) after 1000 cycles at a 5C rate,; in comparison, bare LTO exhibited capacities of only 230 .98 mAh g(-1) (1C-89.71%)and 145.63 mAh g(-1) (5C-82.48%). This improvement can be attributed to three factors: first, the active carbon enhances material conductivity while the active carbon coating and SEI films simultaneously as a barrier isolating Li4Ti5O12 from the electrolyte LiPF6, thereby preventing structural degradation; second, micron Si doping into Li4Ti5O12 crystals introduces additional capacity and leads to an appropriate amount of expansion during cycling, effectively increasing crystal plane spacing and facilitating Li+ migration. Final, the multi-layer core-shell structure consisting of Li4Ti5O12, active carbon coating, and SEI films acts as the buffer successfully limits the Si-Li15Si4 phase transition volume expansion. The proposed modification process is straightforward and environmentally friendly, making it suitable for industrial-scale production. This approach holds promise in bolstering the competitiveness of spinel Li4Ti5O12 as an anode material in the Lithium-ion battery market.",LTO (Lithium Titanium Oxide) with Silicon-carbon composite,"230 mAh g(-1), 349.19 mAh g(-1), and 196.56 mAh g(-1)","1C, 5C",N/A,"200 cycles, 1000 cycles"
