,abstract_id,abstract,Cathode,Capacity,C-rate,Voltage,Cycle number
41,doc_41,"To regenerate waste LiCoO2, laser was used to strip LiCoO2 from the current collector. The surface chemical state and element composition of the laser stripped LiCoO2 material were analyzed. The regenerated laserstripped LiCoO2 was used to fabricate the cathode of batteries and the electrochemical performance was tested. The test results show that the first discharge specific capacity of the regenerated LiCoO2 is 164.6 mAh g(-1) at 25 mA g(-1), and capacity remains 120 mAh g(-1) after 100 cycles. M high current density of 1250 mA g(-1), its capacity can be stabilized at 97.2 mAh g(-1). The excellent electrochemical performance can be attributed to the high energy of the laser which can directly decompose and volatilize PVDF and C, thereby effectively improves the purity of LiCoO2. Moreover, the laser could effectively decompose LixCoO2 to Li1CoO2 and Co3O4 by heating, which facilitates the reaction of Co3O4 with Li2CO3 to form LiCoO2 during the process of replenishing lithium, therefore, improves the structural stability and dynamic performance of the regenerated LiCoO2.",The cathode of batteries,"164.6 mAh g(-1), 120 mAh g(-1)","25 mA g(-1), 1250 mA g(-1)",N/A,100
42,doc_42,"Molecular organic material is of great interest for lithium ion battery applications due to its abundance, tunable redox properties, and harmless disposal. 1,3,7-trimethylxanthine (Caffeine) is a naturally occurring alkaloid, having multiple redox-active centres such as carbonyls (C = O), alkene (C = C) and the imine (C = N) for lithium -ion doping. The electrochemical reaction with lithium-ion results in a highly reversible capacity of 313 mAh g(-1) at 1 C and remains stable for 600 cycles. The electrochemical storage of lithium ions in caffeine anode was revealed by selective doping at C = N and C = O located in between the tertiary-nitrogen. Caffeine anodes are ultra-stable operated at 10 C, up to 6000 cycles. Caffeine's extraordinary stability is attributed to dope-induced transformation of micro-rods into nano sticks. The caffeine-LiCoO2 full battery system delivers a voltage of 3.95 V with a stable specific capacity and promising for practical applications.",N/A,313 mAh g(-1),"1, 10",3.95 V,"600, 6000"
43,doc_43,"The interfacial compatibility between cathodes and sulfide solid-electrolytes (SEs) is a critical limiting factor of electrochemical performance in all-solid-state lithium-ion batteries (ASSLBs). This work presents a gas-solid interface reduction reaction (GSIRR), aiming to mitigate the reactivity of surface oxygen by inducing a surface reconstruction layer (SRL) . The application of a SRL, CoO/Li2CO3, onto LiCoO2 (LCO) cathode results in impressive outcomes, including high capacity (149.7 mAh g-1), remarkable cyclability (retention of 84.63% over 400 cycles at 0.2 C), outstanding rate capability (86.1 mAh g-1 at 2 C), and exceptional stability in high-loading cathode (28.97 and 23.45 mg cm-2) within ASSLBs. Furthermore, the SRL CoO/Li2CO3 enhances the interfacial stability between LCO and Li10GeP2S12 as well as Li3PS4 SEs. Significantly, the experiments suggest that the GSIRR mechanism can be broadly applied, not only to LCO cathodes but also to LiNi0.8Co0.1Mn0.1O2 cathodes and other reducing gases such as H2S and CO, indicating its practical universality. This study highlights the significant influence of the surface chemistry of the oxide cathode on interfacial compatibility, and introduces a surface reconstruction strategy based on the GSIRR process as a promising avenue for designing enhanced ASSLBs. This work highlights the significant influence of surface chemistry of oxide cathode on interfacial compatibility in all-solid-state lithium batteries (ASSLBs). The interface between cathode and solid-state electrolyte is primarily responsible for the prevailing capacity fading and impedance buildup. Therefore, a surface reconstruction strategy based on a gas-solid interface reduction reaction is introduced as a promising avenue for designing enhanced ASSLBs.image",LCO,149.7 mAh g-1,"2 C, 0.2 C",N/A,400
44,doc_44,"All-solid-state lithium-ion batteries (ASSLIBs) have obtained more and more attention due to their inherent safety and high energy density. Halide solid electrolytes are one of the ideal candidates for ASSLIBs due to their high ionic conductivity, wide electrochemical window, and outstanding compatibility with oxide cathode materials. However, the contact interface issues between the oxide cathode and halide electrolyte and undesirable side-reaction under high voltage remain to be solved. Herein, we report an approach to stabilize the interface between high-voltage LiCoO2 and Li3InCl6 solid electrolyte with a nanostructured Li2SiO3 coating using a simple sol-gel method. The Li2SiO3 coating layer with a similar layered structure to the LiCoO2 shows an impressive ion conductivity. The uniform Li2SiO3 buffer layer between LiCoO2 and Li3InCl6 suppresses the irreversible structural transition of the cathode active material and avoids interfacial by-product from the side-reaction at high voltage. Encouragingly, ASSLIBs with the Li2SiO3 coated LiCoO2 displayed a high reversible discharge capacity of 193.4 mAh g-1 and a superior capacity retention of 81 % after 250 cycles at 4.6 V.",LiCoO2,193.4 mAh g-1 (reversible discharge),N/A,High voltage,N/A
45,doc_45,"With the impending increase in the number of retired lithium-ion batteries, effective recycling and upcycling strategies must be explored to alleviate resource shortages, address environmental pollution, and meet the growing demand for high-performance cathode materials. This study proposes a closed-loop upcycling strategy that utilizes current collector aluminum (Al) as both a dopant and raw material for surface coating. This approach repairs the structural defects of highly degraded LiCoO2 (LCO) cathode materials and achieves bulk Al doping and surface LiAlO2 coating, transforming them into high-performance cathode materials capable of stable operation at a high voltage of 4.5 V. Specifically, bulk Al doping suppresses irreversible phase transitions and enhances structural stability, while the LiAlO2 coating improves interfacial charge transfer and mitigates polarization. The synergistic effects of these modifications collectively enhance the electrochemical stability of LCO. The upcycled material delivers an initial discharge capacity exceeding 181.5 mAh g-1 and retains 93.9% of its capacity after 200 cycles at 1 C. Even under a high current rate of 10 C, the discharge capacity remains above 150.1 mAh g-1, thereby outperforming commercial LCO cathodes. This study provides a simple and efficient solution for the direct upcycling of degraded LCO cathode materials into high-performance alternatives.",LCO,>150.1 mAh g-1,10 C,N/A,N/A
46,doc_46,"High-density sintered plate-type cathodes composed of only an active material can achieve a high energy density of lithium-ion batteries (LIBs) beyond the current state of the art. However, slow lithium ion movement in the solid-state cathode plate and deterioration of the grain boundary of sintered cathodes over many charge/discharge cycles are obstacles to commercialization. Herein, we present a new three-dimensional high-density sintered LiCoO2 plate cathode with periodically aligned channels, which enable fast charging/discharging of high-energy-density LIBs. In addition, we investigate the grain-boundary cracking mechanism and introduce a conductive coating agent to LiCoO2 cathodes that prevents crack propagation, enhances electron transfer between sintered LiCoO2 grains, and prevents the formation of an undesirable cathode electrolyte interphase. In full-cell experiments, the cell with a sintered LiCoO2 cathode with industrial-level current density (3.5 mA cm(-2)) has a volumetric capacity (723 mAh cm(-3)) 21% higher than that of a conventional cathode (597 mAh cm(-3)). The cathode coated with the conductive agent shows a 30% higher cycle life after testing for 500 cycles compared to the bare cathode. High-density sintered cathodes are fabricated with an industrially acceptable cycle lifetime of 84% capacity retention over 500 cycles at 1 C.",LiCoO2,723 mAh cm(-3),1 C,N/A,500
47,doc_47,"The growing volume of spent lithium-ion batteries (LIBs) with degraded LiCoO2 (D-LCO) cathodes is arising as an environmental concern as well as a waste of strategic resources. Current recycling strategies for D-LCO materials primarily focus on metal extractions (Li and Co), which produce large quantities of wastewater and waste residues and consume substantial amounts of energy. Inspiringly, the rapid proliferation of electric vehicles has catalyzed the ever-increasing production of LIBs with ternary layered oxides as the prevalent cathode materials. Herein, this work reports a simple, green, and economic upcycling strategy for direct transformation of D-LCO into high-performance single-crystal LiNi1/3Co1/3Mn1/3O2 (NCM111) cathode materials. By simultaneous lithium replenishment, particle size reduction, and chemical composition engineering in the upcycling process, the NCM111 product delivers a high specific capacity (159.0 mAh g(-1) at 0.1 C) and an excellent cycling stability (82.1% retention after 200 cycles at 1 C), outperforming those of commercial materials. This work highlights the immense potential of upcycling strategies in mitigating the environmental ramifications of spent LIBs and paves the way for the sustainable development of LIBs industry.",NCM111,159.0 mAh g(-1),0.1 C and 1 C,N/A,200 cycles
48,doc_48,"A challenge in developing high-performance lithium batteries requires a safe technology without flammable liquid electrolytes. Nowadays, two options can satisfy this claim: all-solid-state batteries and aqueous-electrolyte batteries. Commercially available Li-ion batteries utilize nonaqueous electrolytes (NAE) owing to a wide potential window (>3 V) that achieves high energy density but pose serious safety issues due to the high volatility, flammability, and toxicity of NAE. On the contrary, aqueous electrolytes are non-flammable, low-toxic, and have a low installation cost for humidity control in the production line. In this scenario, we develop a new aqueous rechargeable Li-ion full-cell composed of high-voltage cathode material as LiCoO2 (LCO) and a safe nanostructured anode material as Li2TiO3(LTO). Both pure-phase LTO and LCO nanopowders are prepared by hydrothermal route and their structural and electrochemical properties are studied in detail. Simultaneously, the electrochemical performances of these electrodes are tested in both halfand full-cell configurations in presence of saturated 1 mole L-1 Li2SO4 aqueous electrolyte medium. Pt/ /LCO and Pt/ /LTO half-cells deliver high discharge capacities of 142 and 133 mAh g(-1) at 0.5 C rate with capacity retention of similar to 95% and 94% after 50 cycles with a Coulombic efficiency of 98.25% and 99.89%, respectively. The electrochemical performance of a LTO/ /LCO full cell is investigated for the first time. It reveals a discharge capacity of 135 mAh g(-1) at 0.5 C rate (50th cycle) with a capacity retention of 94% and a Coulombic efficiency of 99.7%.","LCO, LTO","142 mAh g(-1), 133 mAh g(-1), 135 mAh g(-1)",0.5 C,N/A,50
49,doc_49,"Thermal safety is critical for marketable batteries. Numerous safety incidents from graphite anode instability impede lithium-ion battery (LIB) use for large-scale energy storage. Herein, we compare thermal safety and electrochemical performance of graphite anodes with commercial conducting polymer poly (3,4-ethyl-enedioxythiophene) polystyrene sulfonate (PEDOT:PSS) and standard polyvinylidene fluoride (PVDF) binders. Thermal analyses with differential scanning calorimetry (DSC) elucidates thermal runaway mechanisms. Reduced wettability of the PEDOT:PSS binder and lower specific surface area of the graphite anode composite contributes to less heat generation from solid electrolyte interphase (SEI) decomposition as compared to PVDF between 100 and 150 degrees C, particularly when carbon black (CB) additive is excluded, evolving 143, 37.5, and 102 J g(-1) for PVDF/CB, PEDOT:PSS, and PEDOT:PSS/CB composite binders, respectively. Additionally, conducting binders provide enhanced stability against LiXC6, generating less than 16% of the 728 J g(-1) from the PVDF/CB graphite anode. In full-cell thermal safety studies with LiCoO2 (LCO) cathode using multimode calorimetry (MMC), this reduces heat generation at temperatures (<140 degrees C) where thermal runaway may still be circum-vented. Electrochemical performance is not sacrificed as PEDOT:PSS/CB provides improved capacity (400 vs. 360 mAh g(-1) after 100 cycles at C/5) and kinetics (260 and 189 mAh g(-1) at 1C) over PVDF/CB.",LiCoO2,N/A,N/A,N/A,N/A
50,doc_50,"Direct recycling has been regarded as one of the most promising approaches to dealing with the increasing amount of spent lithium-ion batteries (LIBs). However, the current direct recycling method remains insufficient to regenerate outdated cathodes to meet current industry needs as it only aims at recovering the structure and composition of degraded cathodes. Herein, a nickel (Ni) and manganese (Mn) co-doping strategy has been adopted to enhance LiCoO2 (LCO) cathode for next-generation high-performance LIBs through a conventional hydrothermal treatment combined with short annealing approach. Unlike direct recycling methods that make no changes to the chemical composition of cathodes, the unique upcycling process fabricates a series of cathodes doped with different contents of Ni and Mn. The regenerated LCO cathode with 5% doping delivers excellent electrochemical performance with a discharge capacity of 160.23 mAh g(-1) at 1.0 C and capacity retention of 91.2% after 100 cycles, considerably surpassing those of the pristine one (124.05 mAh g(-1) and 89.05%). All results indicate the feasibility of such Ni-Mn co-doping-enabled upcycling on regenerating LCO cathodes.",LCO,160.23 mAh g(-1),1.0 C,N/A,100
51,doc_51,"High-voltage lithium cobalt oxide (LCO) has been widely used in 5G smart electronics. However, maintaining the stability of high-voltage LCO structures under fast charging and discharging conditions is still a challenge that hinders its application in fast-charging lithium-ion batteries. Here, we propose a new idea of fully supported lattice network and self-passivating surface to construct a fast-charging cathode and realize high performance fast-charging lithium-ion battery. A fully supported lattice network can be achieved by one-step solid-phase sintering of Sn and S co-doped LCO, reducing the energy barrier of Li+ transport and allowing rapid Li+ solidstate diffusion. The self-passivating surface is formed on the surface of LCO-Sn0.6 by de-solvation with solvent molecules, which significantly increases the adsorption energy of EC and LiPF6 on LCO-Sn0.6, and greatly reduces the absorption ability of EC and LiPF6 on LCO-Sn0.6 to form effective CEI membranes. The superior performance with high capacity (114 mAh g+1) under extremely fast charging conditions (20 C, 1 C = 274 mA g+1) is achieved on Sn and S co-doped LCO cathode, that is, it can reach more than 60% SOC after only 2 min of fast charging. In situ Raman spectroscopy and in situ XRD further confirm the reversible transformation of Sn and S co-doped LCO microstructure during charge and discharge processes. These results provide a platform for the design of novel fast-charging cathode materials with fully supported lattice network and self-passivating surface, while stabilizing lattice structure and significantly enhancing ionic solid-state diffusion dynamics.",LCO-Sn0.6 with Sn and S co-doping,114 mAh g+1,20 C (274 mA g+1),N/A,N/A
52,doc_52,"Serious structural irreversibility and interfacial side reactions pose major challenges for the stable operation of LiCoO2 cathodes at high voltages. Herein, we report a polymer-based solid electrolyte (SLP) composed succinonitrile, LiTFSI and PVDF as a binder to address these issues. The SLP binder exhibits superior performance compared to traditional PVDF and PVDF binders with LiTFSI, with higher ionic conductivity (8.46 x 10(- 5) S cm(- 1) at 30 degree celsius), lower activation energy of 0.38 eV and excellent adhesion. Even with just 3% SLP binder, LiCoO2 cathode operating at a cutoff voltage of 4.6 V and loaded with similar to 6.0 mg cm(- 2) active material demonstrates improved rate capability at higher compaction densities, delivering a discharge specific capacity of 146.5 mAh g(- 1) after 100 cycles at 0.5 C-rate. The SLP binder not only enhances Li+ conduction but also facilitates the formation of a stable cathode-electrolyte interphase, thus reducing the Li+ diffusion barrier and interface polarization, and enhancing battery's performance at low temperature. Furthermore, the SPL binder's high compatibility and elasticity with the electrolyte mitigate irreversible structural changes and volume expansion in LiCoO2 during cycling, leading to better preservation of the layered structure and lower internal stress for stable cycling under high temperatures. This strategy provides a novel interface protection idea for electroceramic cathode materials and may facilitate commercial development.",LiCoO2,146.5 mAh g(-1),0.5,4.6 V,100
53,doc_53,"Lithium-ion batteries with both low-temperature (low T) adaptability and high energy density demand advanced cathodes. However, state-of-the-art high-voltage (high -V) cathodes still suffer insufficient performance at low T, which originates from the poor cathode-electrolyte interface compatibility. Herein, we developed a shallow surface Zr-doped and Li+ conductive Li2Zr(PO4)2 (LZPO) interspersed massage-ball-like LiCoO2 (LZPO-LCO). The surface interspersed LZPO can induce an electrolyte superwettability of LZPOLCO, which helps to form a high-quality cathode-electrolyte interphase with strong stability and low interface resistance. Without changing electrolyte, even at a low T of -25 degrees C and a high V of 4.6 V, LZPO-LCO shows an ultrahigh capacity of -200 mAh g-1 at 0.2C and 137 mAh g-1 at 5C, maintaining 94% capacity after 100 cycles with an average Coulombic efficiency of 99.9%. Besides, the fabricated full cells deliver a high energy density of -340 Wh kg-1 and maintain 92% capacity after 200 cycles at -25 degrees C. This work provides a significant leap forward for high-performance low -T cathodes.",LZPO-LCO,"-200 mAh g-1, 137 mAh g-1","0.2C, 5C",4.6 V,100
54,doc_54,"Improving the durability of cathode materials at low temperature is of great importance for the development nowadays of lithium ion batteries, since the practical capacity and cycling stability of the electrode are reduced significantly at low temperature. Herein, by amorphous Zr-3(PO4)(4) surface engineering, we realize a stable high-voltage LiCoO2 operation (4.6 V) at -25 degrees C. The highly amorphous surface layer can help to form a high-quality cathodeelectrolyte interphase with strong stability and low interface resistance, especially at low temperature. Such a surface-engineered LiCoO2 shows a capacity of 179.2 mAh g(-1) at 0.2C and an excellent cyclability with 91% capacity retention after 300 cycles (1C). As a comparison, bare LiCoO2 shows only 161.6 mAh g(-1 )and 1% capacity retention under the same circumstances. This work confirms that surface regulation and control engineering is an effective route to improve the high-voltage and low-temperature performance of LiCoO2.",LiCoO2,179.2 mAh g(-1),0.2C,N/A,300
55,doc_55,"The rising demand for lithium across various applications underscores the urgent need for sustainable recycling practices. This study highlights the critical importance of recycling lithium-ion batteries, given the finite nature of lithium resources and the environmental impact of improper disposal. The research presents an efficient method for lithium recovery from spent batteries, including LiFePO4 (LFP) and LiNixCoyAlzO2 (NCA) types. This approach utilizes selective lithium recovery via electro-oxidation, applying varying potentials to enhance lithium extraction from spent Li-ion batteries. This technique overcomes the limitations of traditional methods, achieving higher yields and minimizing losses. Lithium recovery efficiency is assessed through inductively coupled plasma (ICP) analysis of the resulting solution. The recycled lithium precursors are then employed to synthesize new LiCoO2 (LCO) cathodes. Electrochemical evaluations show that the newly synthesized LCO exhibits a capacity of 136 mAh/g at a charge rate of 0.1C and a Coulombic efficiency of 99 %. These results confirm the effectiveness of the electro-oxidation process in recovering lithium as Li2CO3, facilitating the successful development of high-performance LCO cathode materials. This study emphasizes the significance of sustainable battery recycling, offering a viable solution to the challenges of mineral scarcity, particularly lithium. It demonstrates a method that provides selectivity for different battery chemistries and compositions, advancing the field of recycling technologies.",LCO,136 mAh/g,0.1C,N/A,N/A
56,doc_56,"Elevating the charging cutoff voltage of lithium cobalt oxide (LiCoO2) batteries to 4.6 V (vs Li/Li+) enables the attainment of an impressive specific capacity; however, this advancement is hampered by severe structural degradation above 4.45 V attributed to unfavorable phase transitions and the occurrence of undesirable side reactions. Herein, we introduce high-valence Sb5+ into LiCoO2, suppressing the O3 to H1-3 phase transition and thereby enhancing the structural stability of LiCoO2. The stable structure not only enables the formation of a more stable cathode-electrolyte interphase film on the surface of LiCoO2 but also suppresses the dissolution of Co, reducing surface side reactions. As a result, Sb-doped LiCoO2, serving as a 4.6 V anode, exhibited a remarkable specific capacity of 169.2 mAh g(-1) at a current density of 1C, with a durable capacity retention of 83.2% after 100 cycles. This study offers a structural modulation strategy for the further advancement of high-voltage LiCoO2 cathodes.",Anode,169.2 mAh g(-1),1C,4.6 V,100
