,abstract_id,abstract,Anode,Capacity,C-rate,Voltage,Cycle number
38,doc_38,"Flexible lithium-ion batteries (FLIBs) are intensively studied using free-standing transition metal oxides (TMOs)-based anode materials. However, achieving high areal capacity TMO-based anode materials is yet to be effectively elucidated owing to the poor adhesion of the active materials to the flexible substrate resulting in low active mass loading, and hence low areal capacity is realized. Herein, a novel monolithic rutile TiO2 microparticles on carbon cloth (ATO/CC) that facilitate the flower-like arrangement of TiO2 nanowires (denoted ATO/CC/OTO) is demonstrated as high areal capacity anode for FLIBs. The optimized ATO/CC/OTO anode exhibits high areal capacity (5.02 mAh cm(-2)@0.4 mA cm(-2)) excellent rate capability (1.17 mAh cm(-2)@5.0 mA cm(-2)) and remarkable cyclic stability (over 500 cycles). A series of morphological, kinetic, electrochemical, in situ Raman, and theoretical analyses reveal that the rational phase boundaries between the microparticles and nanowires contribute to promoting the Li storage activity. Furthermore, a 16.0 cm(2) all-FLIB pouch cell assembled based on the ATO/CC/OTO anode and LiNiCoMnO2 cathode coated on ATO/CC (ATO/CC/LNCM) exhibits impressive flexibility under different folding conditions, creating opportunity for the development of high areal capacity anodes in future flexible energy storage devices.",TiO2 nanowires,5.02 mAh cm(-2)@0.4 mA cm(-2),"0.4 mA cm(-2), 5.0 mA cm(-2)",N/A,over 500 cycles
39,doc_39,"Due to the typical intercalation-deintercalation mechanism, TiO 2 holds great promise as a sustainable anode for next-generation lithium -ion batteries (LIBs). However, commercial TiO 2 (C-TiO 2 ) is granular and shows slow ionic conductivity, which greatly hinders its development due to sluggish kinetics, leading to low reversible capacity and inferior rate capability. In this study, a two-dimensional layered TiO 2 (L-TiO 2 ) anode is prepared via a one-step calcination process, which can effectively shorten the lithium ions diffusion path and improve its lithium ions conductivity. We elucidated the enhanced electrochemical performance of L-TiO 2 as an anode in LIBs through pseudocapacitive acceleration of lithium ions intercalation and deintercalation using various characterization techniques, including different scan rate cyclic voltammetry tests, in situ electrochemical impedance spectroscopy, in situ Raman spectroscopy, and in situ X-ray diffraction. In comparison to C-TiO 2 material, L-TiO 2 material showcases remarkable electrochemical performance, achieving a capacity of 166 mAh/g after 100 cycles at 0.1 C. Additionally, the lithium -ion diffusion coef ficient calculated for the L-TiO 2 is two orders of magnitude greater, underscoring its potential as a negative electrode material for LIBs. (c) 2024 Chinese Society of Particuology and Institute of Process Engineering, Chinese Academy of Sciences. Published by Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",L-TiO2,166 mAh/g,0.1 C,N/A,100
40,doc_40,"Limited by the intrinsic low electronic conductivity and inferior electrode kinetics, the use of TiO2 as an anode material for lithium ion batteries (LIBs) is hampered. Nanoscale surface-engineering strategies of morphology control and particle size reduction have been devoted to increase the lithium storage performances. It is found that the ultrafine nanocrystal with mesoporous framework plays a crucial role in achieving the excellent electrochemical performances due to the surface area effect. Herein, a promising anode material for LIBs consisting of phosphorus-doped TiO2 mesoporous nanocrystals (P-TMC) with ultrafine size of 2-8 nm and high specific surface area (234.164 m(2) g(-1)) has been synthesized. It is formed through a hydrothermal process and NaBH4 assisted heat treatment for anatase defective TiO2 (TiO2-x) formation followed by a simple gas phosphorylation process in a low-cost reactor for P-doping. Due to the merits of the large specific surface area for providing more reaction sites for Li+ ions to increase the storage capacity and the presence of oxygen vacancies and P-doping for enhancing material's electronic conductivity and diffusion coefficient of ions, the as-designed P-TMC can display improved electrochemical properties. As a LIB anode, it can deliver a high reversible discharge capacity of 187 mAh g(-1) at 0.2 C and a good long cycling performance with similar to 82.6% capacity retention (101 mAh g(-1)) after 2500 cycles at 10 C with an average capacity loss of only 0.007% per cycle. Impressively, even the current rate increases to 100 times of the original rate, a satisfactory capacity of 104 mAh g(-1) can be delivered, displaying good rate capacity. These results suggest the P-TMC a viable choice for application as an anode material in LIB applications. Also, the strategy in this work can be easily extended to the design of other high-performance electrode materials with P-doping for energy storage.",P-TMC,"104 mAh g(-1), 187 mAh g(-1)","0.2 C, 10 C, 100 times original rate",N/A,2500
41,doc_41,"The SnSb and TiO2 nanoparticles uniformly embedded into continuous and conductive carbon nanofibers (CNFs) are successfully fabricated through facile electrospinning combined with calcination treatments. The characterization results of the targeted composite nanofibers (Sb-SnSb/TiO2@CNFs-2) confirm that the presence of TiO2 is of significant importance to construct the elaborately designed and intact fiber structure, in which the optimal dosage of the TiO2 precursor is precisely controlled at 2 mmol. Moreover, high theoretical specific capacity of SnSb, available inhibitory effect of TiO2, and great electronic conductivity of CNFs are cooperatively integrated into the Sb-SnSb/TiO2@CNFs-2 composite nanofibers, guaranteeing the enhanced lithium storage capacity and cycling performance when being employed as the anode electrodes. Specifically, the Sb-SnSb/TiO2@CNFs-2 electrode can not only deliver initial discharge specific capacity of 1146.6 mAh/g at 100 mA/g and reversible discharge specific capacity of 580.4 mAh/g after 100 cycles, but also retain discharge specific capacity of 561.3 mAh/g after rate cycles along with recovering the current density to 100 mA/g. Importantly, the Sb-SnSb/TiO2@CNFs-2 electrode is also endowed with prominent advantages in the pseudocapacitive contribution of 66.89 % at 0.8 mV/s. Those investigations and findings of the Sb-SnSb/TiO2@CNFs-2 composite electrodes with facile fabrication process and excellent electrochemical performance can contribute to the practical application of the alloy anodes in the field of the energy storage. (c) 2022 Elsevier Inc. All rights reserved.",Sb-SnSb/TiO2@CNFs-2,"1146.6 mAh/g (initial discharge), 580.4 mAh/g (reversible discharge)","100 mA/g, N/A (rate cycles)",N/A,100
42,doc_42,"The integration of titanium dioxide (TiO2) nanoparticles with carbon fibers leads to the formation of a stable structure and a synergistic effect, resulting in improved conductivity and electrochemical performance of lithium-ion batteries. Various techniques such as the hydrothermal method, ultrasonic mixing method, and electrospinning technology are used to achieve uniform distribution of TiO2 nanoparticles within the highconductivity carbon fiber matrix, thereby preventing agglomeration and electrolyte corrosion. The resulting material serves as a high-performance negative electrode material for lithium-ion batteries. Compared with the TiO2/CNFs composite (U-TiO2/CNFs) prepared by directly mixing TiO2 nanoparticles into the spinning solution through ultrasonic treatment, the TiO2/CNFs composite (H-TiO2/CNFs) prepared by hydrolyzing tetrabutyl titanate (TBT) has more uniform distribution of TiO2 nanoparticles, so it shows more excellent electrochemical performance. The initial discharge specific capacity at 0.1 C is 231 mAh & BULL; g-', and after 300 cycles at 0.2 C, there is still 204 mAh & BULL; g-' reversible capacity, the coulombic efficiency can reach 99%. IP: 203 8.109 20 On: Tue 05 Sep 2023 04:27 00",Negative electrode material,"231 mAh/g' (initial discharge), 204 mAh/g' (after 300 cycles)","0.1 C, 0.2 C",N/A,300
43,doc_43,"Background Developing new anode materials with high specific capacity for high-performance lithium (Li)-ion batteries is significant for meeting high energy density demand. Composites of graphene-wrapped titania (TiO2) nanoparticles (GTO) have been successfully synthesized via a facile method for anode material in Li-ion batteries. Results The as-prepared GTO composites exhibit remarkable electrochemical performance, including initial high specific capacity of 652.8 mAh g(-1) and outstanding cycling stability (198 mAh g(-1) after 300 cycles). Conclusions The outstanding performance is due to the positive effect of graphene, which acts both as electron conductor and volume buffer layer. This work further demonstrates that GTO composites could acts as a stable anode for reversible Li-ion batteries. (c) 2022 Society of Chemical Industry (SCI).",GTO (Graphene-wrapped titania nanoparticles),652.8 mAh g(-1) and 198 mAh g(-1) after 300 cycles,N/A,N/A,300
44,doc_44,"In this paper, nitrogen-doped carbon nanofibers encapsulated titanium dioxide nanoparticles (TiO2/NCNF) anode materials were prepared by electrospinning. Through the construction of heterojunctions, the inherent low ionic conductivity and electronic conductivity of transition metal oxides are overcome. Nitrogen-doped carbon nanofibers have the advantages of large active surface area, strong deformation stress and short ion diffusion path. In addition, nitrogen-doped carbon nanofibers can not only improve the storage capacity of lithium ions by introducing defects through heteroatom doping, but also further improve the electronic conductivity of carbon nanofibers. By encapsulating nanoparticles with nanofibers, the volume expansion and agglomeration problems during the material cycle are slowed down, and the electrochemical performance of the material is greatly improved. The TiO2/NCNF anode material still has a specific capacity of 386.1 mAh /g after 100 cycles at a current density of 0.1 A /g, and can maintain a specific capacity of 206.63 mAh /g at a high current density of 2 A /g.",TiO2/NCNF,"386.1 mAh/g, 206.63 mAh/g","0.1 A/g, 2 A/g",N/A,100
45,doc_45,"Titanium dioxide (TiO2) has been considered as a promising anode material for alkaline ion batteries (AIBs), yet the low electrical conductivity and sluggish reaction kinetics have restricted its practical applications, while rational structure design can significantly overcome these drawbacks. Herein, we report a one-step fabrication of ultrafine anatase TiO2 nanoparticles within holely carbon nanofibers (denoted as A-TiO2 @ HCNFs) via a facile electrospinning method and subsequent annealing treatment. The chemical reaction between TEOS (Si(OC2H5)(4)) and PVDF ((CH2CF2)(n)) in the precursor induces the generation of numerous holes (via 4HF + SiO2 = SiF4 up arrow + 2 H2O) during the carbonization process by annealing in Ar at 800 ?, leading to the formation of holely structure and the suppression of the anatase-to-rutile phase transformation. When employed as anode materials for AIBs, the A-TiO2 @HCNFs exhibit a high sodium storage capacity of 206.8 mAh g(-1 )at 1.0 A g(-1 )after 500 cycles and a superior rate performance of 188.4 mAh g(-1) at 5.0 A g(-1), and a lithium storage capacity is 354.0/233.9 mAh g(-1) at 0.2/1.0 A g(-1) after 100/500 cycles with an excellent rate performance of 145.6 mAh g(-1) at 5.0 A g(-1). The superior electrochemical performance is related to the unique structure with integration of ultrafine anatase TiO2 nanoparticles and holely carbon nanofibers, which bring many advantages including improved electrical conductivity, sufficient reaction sites and robust structure stability. (c) 2022 Elsevier B.V. All rights reserved.",A-TiO2 @HCNFs,"206.8 mAh g(-1), 354.0/233.9 mAh g(-1)","5.0 A g(-1), 0.2/1.0 A g(-1)",N/A,"500, 100"
46,doc_46,"Enhancing the areal capacity of lithium-ion batteries (LIBs) via designing of thick electrodes attracts significant interest. To promote this issue, carbon microfiber (CMFs) and carbon nanotubes (CNTs) are introduced as most electrode skeletons to improve the kinetics of the thick electrodes. Herein, self-supportive integrated thick electrodes with dual hierarchical carbon skeleton of CMFs and CNTs, and TiO2 are synthesized via vacuum filtration-casting technique. By tuning the ratio of both CMF and CNT, the optimized electrode achieves rela-tively high reversible areal capacity of 5.32 mAh cm-2@0.0125 A g-1, attractive rate performance of 0.91 mAh cm-2@0.50 A g-1 and impressive cyclic stability areal capacity of 2.75 mAh cm-2@0.10 A g-1 up to 150 cycles as anode material for LIBs. The enhanced performance can be attributed to the interconnected hierarchical carbon architecture and synergistic effect between the individual materials that facilitates better electrical conductivity for the rapid lithium-ion diffusion kinetics. Furthermore, in situ Raman analysis provides clear evidence for the rapid electronic/ionic transport kinetics in the proposed integrated architecture electrode. This work provides more options for the synthesis of thick electrodes for high performance and high areal capacity LIBs.",N/A,"2.75 mAh cm-2@0.10 A g-1, 5.32 mAh cm-2@0.0125 A g-1","0.10 A g-1, 0.50 A g-1",N/A,150
47,doc_47,"MoO3-based anodes for lithium storage have attracted more attentions due to the relatively high specific capacity of 1117 mAh g(-1) and good chemical stability. Compound MoO3 with other functional materials and construction of unique micromorphologies have been proved to be efficient strategies for improving the electrochemical performances of MoO3-based anodes. Herein, MoO3/TiO2 composites were successfully biosynthesized with different micromorphologies. In the preparation processes, the hydrothermal and solvothermal treatments were carried out successively in the presence of cellulosic filter paper as the biotemplate, followed by calcination of the as-obtained composites in air, resulting in the final MoO3/TiO2 composite materials. The two microstructures of the MoO3 microfiber with entire TiO2 nanoparticles coating and the MoO3 microrod formed by stacking the microsheets with loosely TiO2 nanoparticles covering were prepared under different pH values of the precursor. Compared with the bare MoO 3 materials, the corresponding MoO3/TiO2 composites showed enhanced electrochemical performances as anode materials for lithium-ion batteries. Especially the MoO3/TiO2 composite with core-shell microfibrous structure derived from cellulosic filter paper presented relatively better test results for lithium storage, delivering an initial discharge capacity of 1297.6 mAh g(-1) with the first Coulombic efficiency of 65.8%, and a reversible specific capacity of 403.6 mAh g(-1) after 200 cycles. It is demonstrated that a well-defined TiO2 coating layer can effectively inhibit the volume variations of MoO(3 )matter in the lithiation/delithiation processes. Combined with the porous microfibrous structure that alleviates the stress, provides more reaction sites and reduces diffusion paths of lithium-ion, a promising MoO3-based anode material was achieved. This work provides a facile biotemplate-based strategy for the design and fabrication of metal oxide-based composites with adjustable microstructures for energy storage.",MoO3-based anode,N/A,N/A,N/A,200
48,doc_48,"The controllable production of TiO2-based nanostructured composites has attracted great interest for the potential applications in storage energy, catalysis, and photonics. In this work, we demonstrate a facile method to produce amorphous TiO2 nanotube (a-TNT) arrays with Au nanocrystals (Au NCs) anchoring on the outmost surfaces of the a-TNTs (Au@TNT arrays) at room temperature. The spatial distribution of Au NCs along the longitudinal direction of the a-TNT arrays is tunable via the control of the sputtering time of Au. The Li-ion half cells (LIHCs) with the working electrode made from the Au@TNT arrays possess higher specific capacities than those with pure a-TNT arrays and exhibit great rate performance. The LIHCs with the Au@TNT arrays prepared with 60 seconds of the Au sputtering time exhibit the best rate performance and deliver discharge capacities of 320, 291, 286, 135, and 122 mAh center dot g(-1) at current densities of 0.1, 0.5, 1, 5, and 10 A center dot g(-1), respectively. The apparent diffusivity of lithium in the LIHCs increases linearly with the increase of the average size of Au NCs (amount of Au NCs/sputtering time). The results obtained in this work suggest that a-TNTs anchored with metallic nanocrystals have the potential to be anode materials of next-generation lithium-ion battery.",Metallic nanocrystal-anchored a-TNTs,"320, 291, 286, 135, and 122 mAh/g(-1)",Not mentioned explicitly (implied as rate performance is discussed),N/A,N/A
49,doc_49,"Titanium-based materials such as TiO2 and Li4Ti5O12 are promising candidates for next-generation lithium-ion batteries (LIBs), but the high operating potential and unsatisfactory specific capacity severely restrict the potential application prospects. Li2TiSiO5 as a novel anode has attracted great attention due to its low-potential and high-capacity properties, but the conversion transition of Li2TiSiO5 to Li4SiO4 and TiO during Li+ intercalation and de-intercalation unfavorably affects the structural stability and hinders Li+ transport. Herein, novel cocoon-like microspheres assembled by Na2TiSiO5 nanotubes (NTSO-T), as the substitute of Li2TiSiO5, are facilely synthesized through a hydrothermal reaction. The hierarchical structure could effectively facilitate the Li+ diffusion, reduces internal strain, and enhances structural stability without greatly reducing the tap density. With a low but safe operating potential of 0.75 V, NTSO-T anode exhibits a high reversible capacity of 400 mAh g(-1) which exceeds most reported Ti-based anodes, and durable long-cycling performance (capacity retention after 3000 cycles reaches 77%). Most importantly, the rate capability of NTSO-T is significantly enhanced. Kinetic reaction analysis has demonstrated the pseudocapacitive contribution in NTSO-T anode dominates the lithium storage kinetics. In addition, ex situ XRD and Raman analysis reveal a partially reversible conversion mechanism occurring in the framework. The excellent electrochemical performance of NTSO-T provides a promising anode candidate for next-generation LIBs.",NTSO-T,400 mAh g(-1),Not specified,0.75 V,3000
50,doc_50,"Establishing heterostructure is an effective strategy to improve the cycling and rate properties of electrode due to high charge transfer kinetics. Nevertheless, it is still a great challenge to prepare a reasonable heterojunction material with appropriate electrochemical property as anode for Na/K ion batteries. In this work, a novel MXene derivative consisted of TiSe2/TiO2/C heterostructured hexagonal prism has been prepared by a simple solid phase sintering method to converting Ti3C2Tx MXene to TiSe2/TiO2/C. In this composite, TiSe2 and TiO2 with different work functions can induce a built-in electric field in the heterojunction interface, accelerating the electrochemical courses. Serving as an anode material for Na ion batteries, TiSe2/TiO2/C can keep a discharge capacity of 280 mAh g(-1) at 5 A g(-1) after 1000 cycles and a superior rate capability with 212 mAh g(-1) even at 10 A g(-1). Even using as anode for K ion batteries, TiSe2/TiO2/C can still retain a capacity of 121 mAh g(-1 )at 0.1 A g(-1) after 800 cycles. This work supplies a simple approach to design metal oxide/selenide heterostructures to-ward Na/K ion batteries with excellent performance and promotes the application of MXene derivatives in the field of energy storage.",TiSe2/TiO2/C,"280 mAh g(-1), 212 mAh g(-1), 121 mAh g(-1)","5 A g(-1), 10 A g(-1), 0.1 A g(-1)",N/A,"1000, 800"
