,abstract_id,abstract,Cathode,Capacity,C-rate,Voltage,Cycle number
76,doc_76,"The chemical and electrochemical characteristics of polymeric binders, poly (vinylidene fluoride) (PVDF) and polyurethane (PU), have been thoroughly examined in the context of structural Li-ion batteries. The adoption of carbon fiber current collectors aims to increase the surface area of cathodes, which in turn boosts electrolyte absorption and enhances the mechanical properties of the battery cells. To enhance the performance of carbon fiber-based lithium iron phosphate (LiFePO4) electrodes that utilize conventional PVDF as a binding agent, PU was utilized as an alternative. The electrochemical performance of structural lithium-ion batteries (LIBs) was underwent assessment by high cycle lithiation and delithiation measurements up to 500 cycles, cyclic voltammetry (CV), and electrochemical impedance spectroscopy (EIS) analysis to ascertain the influence of the two binder types. The study demonstrated that cathodes containing PU binder, exhibited improved battery performance, an outcome attributed to the binder unique molecular structure. The LFP/PU cathode displayed an improved value of 373 mAh g- 1 initial capacity at 0.1C and 110 mAh g- 1 after 500 cycles of charge and discharge, with a coulombic efficiency of 100 % at 0.5C. The enhanced electrochemical performance of electrodes is attributed to the efficient charge transfer properties of carbon fiber, the it-it interactions between the hard segment of the PU binder and the carbon fiber, the porous morphology of the carbon fiber current collector, and strong affinity for electrolytes with PU binder. The electrochemical performance of structural LIBs has been significantly improved by the incorporation of carbon fiber current collectors and PU binder, rendering these batteries well-suited for application in electric vehicles.",LFP/PU,"373 mAh/g (initial), 110 mAh/g (after 500 cycles)","0.1C, 0.5C",N/A,500
77,doc_77,"We report a natural fiber template method for the synthesis of lithium iron phosphate carbonized silk cocoon (LFP-CS), as cathode electrode material for lithium-ion batteries. Bombyx-mori silk-cocoons was used as template and heated along with LFP precursor to obtain a carbonized silk carbon network around LFP. The X-ray powder diffraction (XRD) shows a well crystalline single-phase olivine structured LFP-CS nanoparticle. Scanning electron microscope (SEM) and Transmission electron microscopy (TEM) revealed the spherical morphology of LFP nanoparticle, which was absorbed on the surface and sub-surface of the cocoon fibers. The LFP nanoparticles were uniformly dispersed within the layer of carbon sheet, forming conductive carbon network between individual particles. The electrochemical study revealed that the LFP-CS has a capacity of 163 mAh/g at 0.1C and 123 mAh/g at 5C rate with excellent cycle performance. Apparently, conductive carbon network formed could also increase the electrochemical performance of the electrode material.",LFP-CS,"163 mAh/g, 123 mAh/g","0.1C, 5C",N/A,N/A
78,doc_78,"Reasonable design of cathode-electrolyte interface (CEI) with high electrochemical stability and high ionic conductivity is crucial for improving the electrochemical performance of cathode materials. Herein, lithium difluoro(oxalate)borate (LiDFOB) is used as an efficient electrolyte additive to form a robust, dense, and conductive CEI on LiFePO4 cathode, which significantly enhances the rate capability and cycling stability. Specifically, the introduction of LiDFOB promotes the formation of a fluoride (F)- and boron (B)-rich CEI, effectively enhancing ion transport kinetics. Simultaneously, the generated CEI exhibits excellent stability, efficiently suppressing the continuous decomposition of the electrolyte and structural damage of LiFePO4 cathode over prolonged cycling. Consequently, the LiFePO4 cathode with LiDFOB additive exhibits a highly reversible capacity of 133.4 mAh g(-1) at 0.5 C and an excellent capacity retention of 94.4% over 400 cycles, which is superior to LiFePO4 without additive (only 66.1% capacity retention). This work confirms the promising potential of LiDFOB as a multifunctional electrolyte additive and provides new insights for constructing high-performance CEI.",LiFePO4,133.4 mAh g(-1),0.5 C,N/A,N/A
79,doc_79,"The multiwall carbon nanotubes/nitrogen-doped carbon-coated regenerated LiFePO4 composites (referred as MCNTs/N-DC@LFP) with the excellent lithium storage properties have been successfully designed and synthesized by combining a facile spray-drying and high-temperature calcination process. The raw materials were spent LiFePO4, chitin and carbon nanotubes, in which the spent LiFePO4 were recycled using a novel low-temperature freezing/thawing technology. The three-dimensional network structure from chitin-derived N-doped carbon coating and CNTs network in MCNTs/N-DC@LFP composites is capable of enhancing the electrical conductivity of the composites and providing short diffusion paths for lithium ions. Upon utilization as cathode materials in lithium-ion batteries (LIBs), the obtained MCNTs/N-DC@LFP composites displayed a 157.0 mAh g(-1) high initial specific discharge capacity at 0.2 C of the elevated current rate, representing high initial coulombic efficiency of 95.2%. After 500 cycles, a remarkable specific discharge capacity was observed which was 146.9 mAh g(-1). The electrode retains a substantial discharge capacity of 111.4 mAh g(-1) even when subjected to a peak current of 5 C. The superior electrochemical performances of the MCNTs/N-DC@LFP composites are mainly ascribed to advantageous combination of regenerated LiFePO4 structure, highly conductive chitin-derived nitrogen-doped carbon coating and CNTs network with efficient electron and Li-ion transport.",MCNTs/N-DC@LFP,"157.0 mAh g(-1), 146.9 mAh g(-1), 111.4 mAh g(-1)","5 C, 0.2 C",N/A,500
80,doc_80,"Coordination polymers can take advantage of both transition metal redox and organic ligand redox, thus serving as promising cathodes with multiple redox centers toward higher-performance lithium-ion batteries (LIBs). Here, we selected the high-capacity carbonyl compound of chloranilic acid (CA) as organic ligand to coordinate with the high-voltage Cu2+ as transition metal node and successfully synthesized copper(II) chloranilate (CuCA) with pi-d conjugation, layered structure and monocrystalline nature. The resulting CuCA presents inorganic and organic redox centers, high electronic conductivity and fast Li+ diffusion kinetics, leading to high discharge capacity (297.0 mAh g(-1) at 50 mA g(-1)), excellent rate capability (160.6 mAh g(-1) at 1000 mA g(-1)) and good cycling stability (165.5 mAh g(-1) at 500 mA g(-1) after 50 cycles) with quasi-solid-state electrolyte. This work will provide insightful understanding of the materials design strategies to develop more efficient coordination polymer cathodes for LIBs.",CuCA,"297.0 mAh g(-1), 160.6 mAh g(-1), 165.5 mAh g(-1)","50 mA g(-1), 1000 mA g(-1), 500 mA g(-1)",N/A,50
81,doc_81,"LiFePO4/carbon (LFP/C) composites with different carbon contents are obtained through a carbothermic reduction process using glucose as carbon source. The effect of carbon content on the performance of LFP is investigated through structure and electrochemical characterization analysis. It is obvious that LFP/C composites significantly enhance the electrochemical performance compared with the unmodified LFP as the carbon content increases. In particular, LFP/C with 15% carbon content (LFP/C-15) exhibits the highest initial discharge specific capacity and the most superior capacity retention rate, with a discharge capacity of 160.7 mAh g(-1) and a capacity retention rate of 82.1% after 100 cycles at 0.1 C. Moreover, the discharge capacity is already very close to the theoretical specific capacity of LiFePO4 (170 mAh g(-1)). However, when the carbon content reaches 20%, the electrochemical performance decreases instead, indicating that excessive carbon content has the opposite effect on the improvement of material performance. Hence, the carbon content plays a crucial role in the future improvement of the material properties.",LFP/C,"160.7 mAh/g, 170 mAh/g (theoretical)",0.1 C,N/A,100
82,doc_82,"Olivine-structured LiMnPO4-based cathodes have generated enormous development prospects due to their high energy density, good structural stability, and low cost. However, their scale of application is limited by high electronic and ionic insulativity. In this study, we designed and synthesized a bi-functional interfacial modified composite, 0.9LiMnPO(4)@0.1LiFePO(4)/C (0.9LMP@0.1LFP/C), using mechanochemical activation-assisted hydrothermal technology. The innovative Li-storage structure consists of a high-energy density LiMnPO4 (LMP) core, a uniformly coated LiFePO4 (LFP) layer with improved ionic conductivity as the secondary outer shell, and an in-situ coated carbon film with high conductivity as the outermost functional skin. As anticipated, the 0.9LMP@0.1LFP/C composite exhibits outstanding Li-storage properties, demonstrating discharge capacities as high as 157.1 mAh g(-1) and 146.7 mAh g(-1) at 0.1 C and 1 C rates, respectively. Moreover, it exhibits an ultrahigh capacity retention of 92.5 % after 500 charge and discharge cycles.",LiMnPO4-based,"157.1 mAh g(-1), 146.7 mAh g(-1)","0.1 C, 1 C",N/A,500
83,doc_83,"Currently, the cells using Lithium Iron Phosphate (LFP) cathode have attracted more attention due to their temperature stability, durability, safety, and fast-charging capability for lithium-ion batteries (LIBs). The nano-sized LFP cathodes have been well-studied for various applications of LIBs, in particular, electric vehicles and energy storage systems. Herein, we used the open-pore micron-sized LFP material as a cathode using an eco-friendly electrode fabrication process for LIBs. The electrodes have been fabricated using LFP, carbon black, and sodium carboxymethyl cellulose/styrene butadiene rubber binder with various active materials contents (80-85 wt%; LFP80/LFP83/LFP85). These electrodes have been characterized with FTIR, Raman, Peel strength, Swelling, XPS, CV, and EIS analyses. The obtained swelling (18.42%) and peel strength (2.57 N/25 mm) values are on par with the electrodes prepared by the conventional method using a non-aqueous PVDF binder. The existence of Fe2+ in the electrode is confirmed by high-resolution XPS spectra. From EIS, the obtained solution resistance and charge transfer resistance values of the electrodes are comparable to the standard LFP electrode prepared using PVDF binder. LFP80 exhibited an initial discharge capacity of 130.9 mAh g(-1) at 1C-rate with a capacity retention of > 90% after 300 cycles. The electrode shows excellent rate capability, even at 4C-rate, it delivered a capacity of 116.3 mAh g(-1). In addition, the electrode displayed a stable capacity as high as 148.7 and 75.3 mAh g(-1) at 1C-rate at 65 and -10 degrees C, respectively. Hence, the LFP80 electrode prepared by eco-friendly processes can very well be used for versatile LIB applications.",LFP,"116.3, 148.7, 130.9 mAh g(-1)","4C, 1C",N/A,300
84,doc_84,"High-performance lithium-ion batteries (LIBs) are required for the rising energy storage demand, while their development depends mainly on cathode materials. Vanadium-based compounds are considered to be promising due to the feasibility of multielectron reactions arising from the rich valence states of vanadium (+2 to +5). Herein, for the first time the electrochemical properties of a vanadium-based fluoroxide, beta-KVOF3, as a cathode for LIBs, are reported. After optimization, a reversible capacity as high as 274 mAh g(-1), a stable 300 cycles lifetime, and an energy density comparable to LiFePO4 (650 vs 550 Wh kg(-1)) are achieved. Experiments and simulation study of reaction mechanism illustrate that such performance originates from the reversible V3+/V5+ redox reaction, high structural stability of beta-KVOF3, and the pseudocapacitive process during charging and discharging. This study reveals that beta-KVOF3 is a promising cathode for Li-ion storage and provides a new design idea for developing high-performance LIBs cathode materials.","Vanadium-based fluoroxide, beta-KVOF3",274 mAh g(-1),N/A,N/A,300
85,doc_85,"The energy storage market necessitates an increase in the specific capacity of battery materials, particularly cathodes, to meet growing demands. Manganese (Mn) substitution of lithium iron phosphate (LFP) cathodes presents a promising avenue, offering high specific capacity and operability at elevated voltages. However, during cycling, the dissolution of Fe/Mn ions into the electrolyte leads to capacity fading. In this study, we enhance the specific capacity of LFP by Mn substitution in the iron position at various ratios (0.1, 0.2, 0.3, and 0.4). LiFe0.6Mn0.4PO4 exhibits the highest capacity of 159.1 mAh g(-1) at 0.1C with an initial Coulombic efficiency of 97.9 %. This improvement stems from an enhanced lithium diffusion coefficient, increasing from 1.86 x 10(-14) cm(2) s(-1) for pristine LFP to 2.46 x 10(-12) cm(2) s(-1) for LiFe0.6Mn0.4PO4. However, LiFe0.6Mn0.4PO4 demonstrates the poorest capacity retention among the substituted samples, reaching 78.4 % over 100 cycles due to severe Fe/Mn ion dissolution. To address this issue, we coat Mn-substituted LFP with poly(3,4-ethylenedioxythiophene) polystyrene sulfonate (PEDOT:PSS) and lithiated Nafion (LN) polymer, which offer high electronic and lithium-ion conductivity, respectively. This coating layer enhances the capacity retention of LiFe0.6Mn0.4PO4 to 90.1 % at 0.2C after 100 cycles, effectively mitigating active material loss during charge-discharge processes. This study demonstrates that PEDOT:PSS-LN can improve the electronic and ionic conductivity of cathode materials and maintain high capacity retention during cycling.",LFP,159.1 mAh g(-1),0.1C,N/A,N/A
86,doc_86,"Lithium iron phosphate (LiFePO4), renowned for its thermal stability and structural safety, faces cost limitations in conventional synthesis routes. This study presents a transformative approach utilizing natural hematite concentrate through an integrated impurity engineering and structural activation strategy. Thermodynamic analysis guided a two-stage alkaline sintering process that selectively removes detrimental impurities via NaOHmediated conversion to water-soluble Na2O & sdot;Al2O3/Na2O & sdot;SiO2 complexes, while preserving beneficial Mg dopants for enhanced ionic conductivity. Subsequent rapid quenching induces metastable Fe2O3 amorphization (68.79 wt% Fe purity) with fractured nanorod morphologies. The optimized LiFePO4 cathode exhibits exceptional electrochemical performance, delivering 155.7 mAh g-1 at 0.1C with minimal polarization, and maintains 110.7 mAh g-1 at ultrahigh 15C rates. Long-term cycling reveals 89.9 % capacity retention after 1000 cycles at 1.0C. reducing charge transfer resistance by 59 % versus conventional synthesis. This synergistic impurity removal-amorphization mechanism enables the preparation of LiFePO4 from low-grade ores, opening up a scalable route for the production of cost-competitive LiFePO4 anodes and concurrently realizing the value-added utilization of natural mineral resources. This method combines materials engineering with sustainable battery production, greatly reducing the cost of precursors compared to traditional iron sources.",LiFePO4,"155.7 mAh g-1, 110.7 mAh g-1 (ultrahigh rates)","0.1C, 15C",N/A,1000
87,doc_87,"Currently, the development of high-performance lithium-ion batteries (LIBs) with improved areal ca-pacity is still challenging. The common strategy to improve areal capacity is to increase the thickness of electrode materials. However, the application of thick electrodes remains challenge due to poor me-chanical properties, slow charge and ion transport, and poor electrolyte infiltration. In this study, thick electrodes are constructed by 3D printing a Li4Ti5O12@VSe2-based ink. The highly electrical conductor VSe2 on the Li4Ti5O12 surface improves the ion and charge transport and eases the internal resistance of the 3D-printed electrode during charge and discharge. As a result, LIBs employing these thick electrodes show a high-rate capability of 128.9 mAh/g at 10 C, improved areal capacities up to 6.2 mAh/cm2, and ultrastable cycling capability (84.5% of capacity retention after 1700 cycles). Moreover, full cells utilizing 3D-Li4Ti5O12@VSe2 as the anode and 3D-LiFePO4@AC/rGO as the cathode with 1.81 V potential yield a high specific capacity of 152.5 mAh/g at 0.1C, a high specific energy density of 276.025 Wh/kg, and a power density of 30.5 W/kg at 0.1C. This work paves the way to designing thick electrodes for high-performance LIBs.(c) 2023 Elsevier Ltd. All rights reserved.",N/A,128.9 mAh/g,10 C,N/A,1700
88,doc_88,"LiFePO4 (LFP) cathodes are popular due to their safety and cyclic performance, despite limitations in lithium-ion diffusion and conductivity. These can be improved with carbon coating, but further advancements are possible despite commercial success. In this study, we modified the carbon coating layer using sulfur to enhance the electronic conductivity and stabilize the carbon surface layer via two methods: 1-step and 2-step processes. In the 1-step process, sulfur powder was mixed with cellulose followed by heat treatment to form a coating layer; in the 2-step process, an additional coating layer was applied on top of the carbon coating layer. Electrochemical measurements demonstrated that the 1-step sulfur-modified LFP significantly improved the discharge capacity (similar to 152 mAh center dot g(-1) at 0.5 C rate) and rate capability compared to pristine LFP. Raman analyses indicated that sulfur mixed with a carbon source increases the graphitization of the carbon layer. Although the 2-step sulfur modification did not exceed the 1-step process in enhancing rate capability, it improved the storage characteristics of LFP at high temperatures. The residual sulfur elements apparently protected the surface. These findings confirm that sulfur modification of the carbon layer is effective for improving LFP cathode properties, offering a promising approach to enhance the performance and stability of LFP-based lithium-ion batteries.",LFP,152 mAh g(-1),0.5,N/A,N/A
89,doc_89,"Lithium titanate (LTO) has been extensively utilized as a potential anode material for fast-charging lithium-ion batteries (LIBs). However, its use is limited by inadequate electrical conductivity and low theoretical capacity. Herein, to improve LTO performance, the traditional polymer binders are replaced with electrochemically active MXene, enabling the formation of a continuously conductive network facilitated by MXene flakes and Super-P particles and encapsulated LTO particles. The adopted configuration enables MXene to function as a binder and conductive additive, rendering stronger adhesion to the current collector, avoiding the pore-blocking effect of polymer binders, and providing extra capacity. Consequently, the MXene-integrated LTO anode exhibits significantly enhanced lithium storage properties compared to the polymer-integrated LTO anodes, attaining a high capacity of 197.7 mAh g-1 at 0.5 C, excellent rate capability of 127.1 mAh g-1 at 20 C, and ultra-stable cycle performance with a capacity retention of 93.4 % over 10,000 cycles. When configurated with LiFePO4 cathode, the lithium ion full cell delivers a maximum energy density of 150.7 Wh kg-1 and power density of 3615.1 W kg-1, underscoring the superiority of utilizing MXene binder to advancing the fabrication of high-performance LTO anode for LIBs.",LiFePO4,N/A,20,N/A,"10,000"
90,doc_90,"LiFePO4 (LFP) has undergone extensive research and is a promising cathode material for Li-ion batteries. The high interest is due to its low raw material cost, good electrochemical stability, and high-capacity retention. However, poor electronic conductivity and a low Li+ diffusion rate decrease its electrochemical reactivity, especially at fast charge/discharge rates. In this work, the volumetric energy density of lithium-ion batteries is successfully increased by using different amounts of conductive carbon (Super P) in the active material content. The particle size and morphology of the electrode material samples are studied using field emission scanning electron microscopy and dynamic light scattering. Two-point-probe DC measurements and adhesive force tests are used to determine the conductivity and evaluate adhesion for the positive electrode. Cyclic voltammetry, electrochemical impedance spectroscopy (EIS), and charge/discharge tests are used to analyze the electrochemical properties of the battery. The samples containing 88% LFP, 5.5% Super P, and 6.5% PVDF perform best, with discharge capacities reaching 169.8 mAh g(-1) at 0.1 C, and they can also manage charging/discharging of 5 C. EIS indicates that this combination produces the lowest charge-transfer impedance (67 Omega) and the highest Li+ ion diffusion coefficient (5.76 x 10-14 cm(2) s(-1)).",LFP,169.8 mAh g(-1),"0.1 C, 5 C",N/A,N/A
91,doc_91,"As a key component of lithium-ion batteries, a separator with excellent electrolyte wettability and good thermal stability has an important impact on the overall performance of lithium-ion batteries. Herein, a PVDF/sepiolite electrospun layer was coated on one side of the PP separator via electrospinning technology to prepare the composite separator (xMS-PVDF@PP) with sepiolite nanofibers modified with vinyltriethoxysilane (VTES) to ameliorate their dispersibility and compatibility with PVDF polymer matrix. The effect of modified sepiolite addition amounts on the physical and electrochemical properties of composite separator was intensively studied. It is found that the as-prepared xMS-PVDF@PP composite separator displays enhanced porosity, electrolyte uptake, thermal stability and Li+ ion transport kinetics than pristine PP separator. Specifically, Li|LiFePO4 battery with 20MS-PVDF@PP as separator shows the best rate and cycling performance, with a specific discharge capacity of 115.3 mAh center dot g-1 at 10C rate and a capacity retention rate of 97.06% after 200 cycles at 1C rate. The sepiolite in the electrospun layer can immobilize PF6- anion to facilitate the uniform distribution of Li+ ions and then inhibit the lithium dendrite growth, as well as absorb HF to alleviate Fe2+ dissolution from LiFePO4 cathode, thereby further improving the electrochemical performance of LiFePO4 battery.",N/A,115.3 mAh center dot g-1,"10C, 1C",N/A,200
