,abstract_id,abstract,Anode,Capacity,C-rate,Voltage,Cycle number
37,doc_37,"In this paper, we report a simple and reliable hydrothermal synthesis strategy to prepare high-performance energy storage materials. Herein, polyvinylpyrrolidone (PVP) was added to obtain spherical MoS2 composite wheat straw cellulose carbon material (MoS2 @WSCC-S), and ammonium persulfate (APS) was further added under acidic conditions to obtain 3D nanoflower-like MoS2 grown on wheat straw cellulose carbon (MoS2 @WSCC-F). These results unequivocally demonstrate that the presence of oxygen-containing groups and the pH of the solution are key factors enabling the formation of flower-like structures, with MoS2 uniformly decorated on the wheat straw cellulose carbon. Mo at the edge of MoS2, C in PVP molecules, and oxygen-containing functional groups released by APS are directly coupled with wheat straw cellulose carbon (C-O-Mo bond). The interfacial interaction of the C-O-Mo bond can enhance the electron transport rate and structural stability of the MoS2 @WSCC-F electrode. The wheat straw cellulose carbon enhances the electrical conductivity of the composite and maintain structural integrity, and at the same time, it can not only serve as a substrate for uniformly dispersing active MoS2, but also serve as a buffer to accommodate volume changes during cycling. As a negative electrode material for lithium-ion batteries, the obtained MoS2 @WSCC-F has a stable charge-discharge capacity of 1056.3 mAh g-1 after 300 cycles at a 1 C rate, a first-cycle Coulombic efficiency of 77 %, and a capacity retention rate of 80.4 %.(c) 2022 Elsevier B.V. All rights reserved.",Negative electrode,1056.3 mAh g-1,1 C rate,N/A,300
38,doc_38,"Molybdenum disulfide (MoS2) is a promising alternative to graphite anodes in battery materials. Therefore, it is critical to scrutinize their structural stability and charge storage capacity during battery operation. Herein, freestanding electrodes consisting of MoS2-incorporated carbon nanotube aerogels are fabricated using a simple yet scalable hydrothermal method, as used in lithium-ion batteries. The outer nitrogen-doped graphitic carbon (NGr) layers support efficient charge transport, even under a substantial compressive environment, and improve the structural integrity, showing significant improvements in battery performance, such as a high rate capacity of 820 mAh g-1 at the current density of 5 A g-1 and 94% capacity retention after 170 cycles (1170 mAh g-1 at 1 A g-1 after 170 cycles), even in the absence of polymer binders and conductive additives. The resulting NGr/MoS2/single-walled carbon nanotubes freestanding electrodes have great potential to increase the volumetric and gravimetric energy density of batteries.",NGr/MoS2/single-walled carbon nanotubes,"1170 mAh g-1, 820 mAh g-1","1 A g-1, Current density (not specified)",N/A,170
39,doc_39,"Molybdenum disulfide (MoS2) is well recognized as a highly promising candidate material for the fabrication of electrodes due to its large interlayer spacing (0.62 nm) and considerably high theoretical capacity. However, its further development and application are severely impeded by its intrinsic volume expansion and poor conductivity. To address these limitations, this work reports the successful fabrication of a three-dimensional spongelike structured MoS2/coconut-derived carbon (CMs/MoS2) composite, which was successfully prepared through a simplified hydrothermal and thermal treatment technique. The incorporation of biomass-derived carbon significantly enhanced the conductivity of the composite material, and the stacking problem of MoS2 nanosheets was effectively prevented by using it as a supporting matrix. Leveraging this unique structure, an outstanding performance was exhibited by the composite material when adopted as an anode material for lithium-ion batteries. At a current density of 100 mA g-1, a remarkable initial reversible discharge specific capacity of 1221.4 mAh g-1 was achieved by the CMs/MoS2 composite, and this capacity was retained at 914.4 mAh g- 1 following the completion of 30 cycles. A sustainable capacity of 720.1 mAh g-1 was demonstrated by the CMs/MoS2 composite material following 200 cycles, even with an increment in the current density up to 200 mA g-1, which was significantly high in relation to the capacities of MoS2 (157 mAh g-1) and biomass-derived carbon (251 mAh",Composite material,"1221.4 mAh g-1 (initial reversible discharge specific capacity), 914.4 mAh g-1 (following 30 cycles), 720.1 mAh g-1 (following 200 cycles)","100 mA g-1, 200 mA g-1",N/A,"30, 200"
40,doc_40,"Hybrid lithium-ion capacitors (LICs) receive special interests because they work by combining the merits of high-capacity lithium-ion batteries and high-rate capacitors in a Li salt containing electrolyte, so as to bridge the gap between the two devices. One of main challenges for LICs is to develop inexpensive and superior anode materials at high rates. In this work, natural molybdenite was utilized as precursor to achieve the scalable production of cheap MoS2/carbon composites. This molybdenite-derived MoS2/carbon electrode can not only exhibit excellent Li+-storage performances including ultrahigh specific capacity (1427 mAh g(-1) after 1000 cycles at 1 A g(-1)) and rate capability (554 mAh g(-1) at 10 A g(-1)), but also possess four-times higher tap density than that of commercial graphite. By employing MoS2/carbon as the anode and activated carbon as the cathode, the as-assembled LIC device delivers both high energy//high power density and long cycle lifespan. Furthermore, the price is nearly 200 orders of magnitude lower than the traditional high-purity chemicals, which can be easily scaled up to achieve high-throughput production.",MoS2/carbon,1427 mAh g(-1),"10 A g(-1), 1 A g(-1)",N/A,1000
41,doc_41,"Given the potential availability, non-toxicity, and environmental acceptability of alternatives to lithium-ion batteries (LIBs), secondary batteries utilizing magnesium (Mg) ions have garnered significant attention. Numerous recent studies have focused on identifying suitable anode materials for post-lithium-ion batteries, particularly magnesium-ion batteries. In this regard, we carried out a theoretical study to investigate the 2D multiphase molybdenum disulphide (1T/2H MoS2) anode material using density functional theory (DFT) and ab initio molecular dynamics (AIMD) simulations. Our observations confirmed the efficacy of this material as an anode. The results highlight its exceptional stability, high binding energy, enhanced metallic characteristics following Mg adsorption, theoretical specific capacity, and remarkably low diffusion barriers. Notably, the anode material exhibits an ultralow energy barrier of 0.04 eV, surpassing that of extensively studied 2D materials. By employing a wide range of Mg2+ concentration during the charging process, we achieved a high specific capacity of 4496.77 mAh g(-1 )ions, coupled with an average operating voltage of 0.04 V. These findings provide valuable insights for the experimental design of exceptional anode materials.",Exceptional anode material,N/A,N/A,0.04 V,N/A
42,doc_42,"Layered guest carbon materials could induce interlayer engineering, especially in regulating the interlayer structure and electronic properties of the hosts, leading to high performance in Li-ion batteries (LIBs). Here, crystalline graphdiyne oxide (GDYO) is successfully inserted into MoS2 gallery via electrostatic self-assembly. Experimental and theoretical data show that GDYO-embedding induces interlayer engineering of MoS2 causing (i) enlarged MoS2 interlayer distance (supplying additional Li-ion diffusion channels and storage sites and mitigating volume change), (ii) creating interfacial electric fields (significantly improving Li-ion transport kinetics), (iii) limiting the electrochemical products of Mo and soluble lithium polysulfide (MoS2 structure regeneration), and (iv) regulation of the interfacial current density distribution during the electrochemical reaction (uniform Li plating). Moreover, through systematic ex situ and in situ investigations, the triple-mechanism of Li-ion storage is thoroughly elucidated in the heterostructure, emphasizing the positive effects of GDYO intercalation on the interfacial and interlayer storage as well as the phase conversion processes. Such a MoS2/GDYO anode exhibits high reversible capacity (approximate to 652.6 mAh g(-1) at 2.0 A g(-1)) and superior cyclic stability of 655.1 mAh g(-1) after 1000 cycles. GDYO-induced interlayer engineering based on host-guest chemistry can provide new ideas for designing effective heterostructures for high-performance energy storage and conversion systems.",MoS2/GDYO,652.6 mAh g(-1),2.0 A g(-1),N/A,1000
43,doc_43,"Wearable electronics are surging for various applications ranging from critical functions like personal health monitoring to communication and entertainment. To power these electronic devices, advanced high-performing textile-based batteries are reckoned. In this work, a 1D textile yarn battery is designed using silicon (Si) nanoparticles wrapped in molybdenum disulfide (MoS2) as an anode and layered Ni-rich material Li[Ni0.8Co0.1Mn0.1]O-2 (NCM) as a cathode. The anode materials design is selected to ensure the use of Si due to its high specific capacity but suppressing its known issue of volume expansion by layered MoS2 nanosheets and, at the same time, MoS(2 )providing channels for lithium-ion (Li-ion) transport during electrochemical cycles. The NCM cathode, on the other hand, is adopted as it has higher energy density and improved cycle life. The full yarn battery (FYB) delivered an excellent electrochemical performance (areal capacity of 3.13 mAh cm(-2), power density of 421 mW cm(-3), and energy density of 78.9 mWh cm(-3)) with a capacity retention of 86% at 0.1 C and coulombic efficiency of 91.3%. This work pointed out a new way to design and fabricate textile-based batteries with highperformance materials using simple, cost-effective, and scalable approaches targeting to be used as energy sources for future wearable electronics.",Silicon (Si) nanoparticles wrapped in molybdenum disulfide (MoS2),3.13 mAh cm(-2),0.1 C,N/A,N/A
44,doc_44,"The diffusion of lithium ions and sodium ions in the anode materials is the main factor limiting the fast-charging performance of lithium and sodium-ion batteries. Due to the slow diffusion kinetics, taking lithium-ion batteries as an example, lithium ions and electrons accumulate locally in and on the surface of anode materials, especially in the process of fast-charging, resulting in uneven lithiation reaction and enormous transient stress, which leads to poor fast-charging performance. In this work, from the aspect of solving the ion diffusion rate, a capacitive type of energy storage is introduced by designing MoS2/rGO composite materials with pinned structures as fastcharging and stable anode materials for lithium-ion batteries and sodium-ion batteries. Combining the high ion conductivity and structural rigidity of the rGO conductive network with a few-layer MoS2 provides a high ion diffusion rate and capacity. As expected, it can charge to 69 % in 25 min and 44 % in 3.2 min, respectively, providing a high capacity of 214.2 mAh g-1 at 10 A g-1 and a high-capacity retention of 85.31 % after 1, 000 cycles at the current density of 3 A g-1 in sodium-ion batteries. Similarly, the high reversible capacity of 910.5 mAh g-1 is achieved in the lithium-ion batteries, and there is almost no capacity loss after 1, 000 cycles at a high current density of 2 A g- 1. This work may provide a reference for designing more fast-charging anode materials with high capacity.",N/A,214.2 mAh g-1,"10 A g-1, 3 A g-1",N/A,"1,000 cycles"
45,doc_45,"Due to the growing demand in the energy market, sodium-ion batteries (SIBs) have garnered significant attention as potential energy storage devices for large-scale applications. However, the sluggish kinetics and significant volume expansion during cycling bring about the poor electrochemical behavior of SIBs. In this work, a dual carbon including internal hard carbon core and external N-doped carbon shell confined MoS2 hierarchical microspheres (HC@MoS2@NC) nanocomposites are prepared as anode for SIBs with superior cycling stability and good rate capability. The dual carbon confinement can improve the structural stability of MoS2. The dual carbon with good electronic conductivity ensures well battery rate capability of MoS2 anode. Meanwhile, the larger interlayer spacing of 10.09 angstrom caused by NC insertion make MoS2 store more Na+. As a consequence, the HC@MoS2@NC nanocomposite delivers a high capacity of 321 mAh g-1 at 0.1 A g-1 after 100 cycles. At large current density of 2 A g-1, a high capacity of 180 mAh g-1 can still be achieved after 1000 cycles. Even at larger current density of 5 A g-1, the capacity can still be kept at 162 mAh g-1 after 100 cycles.",MoS2 anode,"321 mAh g-1 (at 0.1 A g-1), 180 mAh g-1 (at 2 A g-1), 162 mAh (at 5 A g-1)","0.1 A g-1, 2 A g-1, 5 A g-1",N/A,"100, 1000"
46,doc_46,"Lithium-ion batteries (LIBs) have revolutionized portable electronics, yet their conventional graphite anodes face capacity limitations. Integrating graphene and 3D molybdenum disulfide (MoS2) offers a promising solution. Ensuring a uniform distribution of 3D MoS2 nanostructures within a graphene matrix is crucial for optimizing battery performance and preventing issues like agglomeration and capacity degradation. This study focuses on synthesizing a uniformly distributed paper wad structure by optimizing a composite of reduced graphene oxide RGO@MoS2 through structural and morphological analyses. Three composites with varying graphene content were synthesized, revealing that the optimized sample containing 30 mg RGO demonstrates beneficial synergy between MoS2 and RGO. The interconnected RGO network enhances reactivity and conductivity, addressing MoS2 aggregation. Experimental results exhibit an initially superior capacity of 911 mAh g(-1), retained at 851 mAh g(-1) even after 100 cycles at 0.1 A g(-1) current density, showcasing improved rate efficiency and long-term stability. This research underscores the pivotal role of graphene content in customizing RGO@MoS2 composites for enhanced LIB performance.",Graphene,"911 mAh g(-1), 851 mAh g(-1)",0.1 A g(-1),N/A,100
47,doc_47,"Metal sulfides have been considered promising anode materials for lithium-ion batteries (LIBs), due to their high capacity. However, the poor cycle stability induced by the sluggish kinetics and poor structural stability hampers their practical application in LIBs. In this work, MoS2/MnS/SnS trimetallic sulfides heterostructure coated with N-doped carbon nanorods (MMSS@NC) is designed through a simple method involving co-precipitation, metal chelate-assisted reaction, and in-situ sulfurization method. In such designed MMSS@NC, a synergetic effect of heterojunctions and carbon layer is simultaneously constructed, which can significantly improve ionic and electronic diffusion kinetics, as well as maintain the structural stability of MMSS@NC during the repeated lithiation/delithiation process. When applied as anode materials for LIBs, the MMSS@NC composite shows superior long-term cycle performance (1145.0 mAh/g after 1100 cycles at 1.0 A/g), as well as excellent rate performance (565.3 mAh/g at 5.0 A/g). This work provides a unique strategy for the construction of multiple metal sulfide anodes for high-performance LIBs.",Metal sulfide,1145.0 mAh/g,"1.0 A/g, 5.0 A/g",N/A,1100
48,doc_48,"As a typical two-dimensional layered metal sulfide, MoS2 has a high theoretical capacity and large layer spacing, which is beneficial for ion transport. Herein, a facile polymerization method is employed to synthesize polypyrrole (PPy) nanotubes, followed by a hydrothermal method to obtain flower-rod-shaped MoS2/PPy (FR-MoS2/PPy) composites. The FR-MoS2/PPy achieves outstanding electrochemical performance as a sodium-ion battery anode. After 60 cycles under 100 mA g(-1), the FR-MoS2/PPy can maintain a capacity of 431.9 mAh g(-1). As for rate performance, when the current densities range from 0.1 to 2 A g(-1), the capacities only reduce from 489.7 to 363.2 mAh g(-1). The excellent performance comes from a high specific surface area provided by the unique structure and the synergistic effect between the components. Additionally, the introduction of conductive PPy improves the conductivity of the material and the internal hollow structure relieves the volume expansion. In addition, kinetic calculations show that the composite material has a high sodium-ion transmission rate, and the external pseudocapacitance behavior can also significantly improve its electrochemical performance. This method provides a new idea for the development of advanced high-capacity anode materials for sodium-ion batteries.",FR-MoS2/PPy,431.9 mAh g(-1),0.1-2 A g(-1),N/A,N/A
49,doc_49,"Biomass carbon for sodium ion anode material has advantages of wide source, low cost, and renewable resources, but poor electrochemical performance limits its commercial application. In this work, we propose a hybrid composite based on few-layer MoS2 2D nano-structures and tubular sisal fiber carbon (TSFC) micro-structures as anode materials for SIBs, where the in situ vertical growth of MoS2 nanosheets uniformly on TSFC was suc-cessfully obtained by a simple hydrothermal method. It is found that the synthesis conditions play an important role in the formation of MoS2 nanosheets and provide tunable structure, morphology, and electrochemical property for the proposed composites. The unique cross-linked network micro-nano-structures of the MoS2/TSFC can effectively improve the electrochemical performance of the anode materials, which shows a reversible specific capacity up to 243 mAh g-1 after 500 long-term cycles at a current density of 0.1 A g-1, with a capacity retention of 97 % from 200 to 500 cycles, and a high initial coulombic efficiency of 64 %. This work can provide new way of resource utilization for natural sisal cellulose, and obtain a new low-cost high-performance sodium ion battery anode material.",MoS2/TSFC,N/A,N/A,N/A,500
50,doc_50,"The battery-type anodes and capacitor-type cathodes enable lithium-ion capacitors (LICs) to achieve high energy density and high power density concurrently. Nonetheless, the gap in capacity and electrochemical reaction dynamics between anodes and cathodes remains a grand challenge. In this work, we report the synthesis of hierarchical MoS2/C@MXene composite with uniform MoS2/C nanosheets grown on few MXene flakes by electrostatic flocculation and hydrothermal reaction. As a result, the restacking of MXene flakes is inhibited effectively by electrostatic flocculation, and the few-layer MXene provides abundant sites for the uniform growth of MoS2 nanosheets. Meanwhile, the amorphous carbon matrix derived from diethylenetriamine can further enhance the conductivity of MoS2 and mitigate the oxidation of MXene. Due to the desirable coupling effect between MoS2/C and MXene conductive networks, MoS2/C@MXene electrode demonstrates superior Li storage capacity. It delivers a reversible capacity of 600 mAh g(-1) at 1.0 A g(-1) after 700 cycles, along with excellent rate performance. Moreover, the assembled LIC device using MoS2/C@MXene as anode and three-dimensional porous carbon as cathode exhibits a high energy density of 164.5 Wh kg(-1) at the power density of 225 W kg(-1), and an energy density of 53.1 Wh kg(-1) even at a high power density of 11.3 kW kg(-1), as well as good cycling stability with capacity retention of 77.2% after 5000 cycles at 1.0 A g(-1). These results indicate that MoS2/C@MXene might be promising anode materials for high-performance LICs.",MoS2/C@MXene,600 mAh g(-1),1.0 A g(-1),N/A,700
51,doc_51,"The lack of stable anode materials with high capacity and fast redox kinetics has hindered the application of lithium-ion batteries (LIBs) for energy storage. Metal-phase molybdenum disulfide (1T-MoS2) is recognized as a promising energy storage material because of its combination of excellent physical and electrochemical properties. In this paper, we report the insertion of ammonium ions (NH4+) into the MoS2 interlayer and effective complexation with graphene oxide (GO). The MoS2 layer spacing was effectively enlarged from 0.67 nm to 1.1 nm by NH4+ insertion, and this method not only maintains the stability of the 1T phase and reduces the energy barriers for Li+ insertion and de-embedding, but also improves the diffusion kinetics of Li+. The Li+ diffusion coefficients of the prepared 1T-MoS2/G composites were confirmed to be enhanced by three orders of magnitude by constant current intermittent titration technique tests. Compared with the conventional preparation method, the mechanism of action of NH4+ insertion provides a new regulation strategy. In addition, electrochemical studies showed that the specific capacity of the prepared 1T-MoS2/G electrode was 1533 mAh/g for 180 cycles at 0.1 A/g and 1679 mAh/g for 800 cycles at 0.5 A/g. Thus, the strategy of introducing NH4+ intercalation to improve the cycling stability of MoS2 raises the prospect of practical application of layered metal sulfide anodes.",MoS2/G,"1533 mAh/g, 1679 mAh/g","0.1 A/g, 0.5 A/g",N/A,"180, 800"
